word,meaning,in,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,esis,ese,общее
lets,"bufoon, clown",0,0,977,0,0,0,0,0,0,0,0,0,0,977
lets,clown,0,0,977,0,0,0,0,0,0,0,0,0,0,977
shtar,"deed, bill",0,233,0,0,0,0,0,0,0,0,0,0,0,233
zinger,singer (male),139,1,0,0,0,0,0,0,0,0,0,0,0,140
lerer,teacher (male),124,9,0,0,0,0,0,0,0,0,0,0,0,133
ov,"ancestor, patriarch",0,0,0,0,0,0,0,0,0,0,0,130,0,130
ov,"Ov, the 11th mo. of the Jewish calendar",0,0,0,0,0,0,0,0,0,0,0,130,0,130
fal,"case, inflection (grammar)",0,0,0,0,0,0,0,0,0,115,0,0,0,115
fal,"fall, drop",0,0,0,0,0,0,0,0,0,115,0,0,0,115
term,term,112,0,0,0,0,0,0,0,0,0,0,0,0,112
khaver,"friend (male), buddy, comrade; boyfriend",0,0,107,0,0,0,0,0,0,0,0,0,0,107
bob,bean,0,0,0,0,0,0,0,0,0,0,0,103,0,103
dikhter,poet,102,0,0,0,0,0,0,0,0,0,0,0,0,102
dermon,reminder,0,0,90,0,0,0,0,0,0,0,0,0,0,90
brokh,"disaster, calamity",0,0,0,0,0,0,0,0,0,0,0,78,0,78
brokh,misfortune,0,0,0,0,0,0,0,0,0,0,0,78,0,78
yid,Jew (male),1,0,0,0,0,0,1,67,0,3,0,1,0,73
shrayber,writer (male),67,1,0,0,0,0,0,0,0,0,0,0,0,68
forsher,scholar; scientist; researcher,64,0,0,0,0,0,0,0,0,0,0,0,0,64
mekhaber,author,39,0,23,0,0,0,0,0,0,0,0,0,0,62
kinstler,artist,54,0,0,0,0,0,0,0,0,0,0,0,0,54
farker,traffic,0,0,44,0,0,0,0,0,0,0,0,0,0,44
basheyd,solution,0,0,0,0,0,0,0,43,0,0,0,0,0,43
kolir,"color, complexion, suit (in cards)",0,0,39,0,0,0,0,1,0,0,0,0,0,40
sfardi,Sephardi,0,0,0,0,0,0,0,0,0,39,0,0,0,39
held,hero,34,0,0,0,0,0,1,0,0,0,0,0,0,35
khoyv,"obligation, debt",0,0,0,0,0,0,0,0,0,0,0,35,0,35
band,"volume (of a book, magazine, etc.)",0,0,0,0,0,0,0,0,0,0,0,33,0,33
farvalter,manager,30,0,0,0,0,0,0,0,0,0,0,0,0,30
litvak,Lithuanian (Jewish male Lithuanian),0,0,0,0,0,0,0,0,0,0,0,29,0,29
profesor,professor,21,1,0,0,0,0,0,0,0,7,0,0,0,29
vey,pain,0,0,26,0,0,0,0,0,0,0,0,0,0,26
breg,beach,0,0,0,0,0,0,0,0,0,0,0,25,0,25
breg,"riverside, shore",0,0,0,0,0,0,0,0,0,0,0,25,0,25
kas,anger,0,0,4,0,0,0,0,0,0,0,0,20,0,24
kas,ridge,0,0,4,0,0,0,0,0,0,0,0,20,0,24
poet,poet,4,0,0,0,0,0,0,0,0,0,0,0,19,23
mitsri,Egyptian male,0,0,0,0,0,0,0,0,0,22,0,0,0,22
tsar,czar,0,0,19,0,0,0,2,0,0,0,0,0,0,21
tuer,"doer, leader, active person",21,0,0,0,0,0,0,0,0,0,0,0,0,21
tsar,"grief, sorrow",0,0,19,0,0,0,2,0,0,0,0,0,0,21
fidler,fiddler; violinist,19,0,0,0,0,0,0,0,0,0,0,0,0,19
firer,leader; guide,18,0,0,0,0,0,0,0,0,0,0,0,0,18
shokhn,neighbor,0,0,18,0,0,0,0,0,0,0,0,0,0,18
fraynd,friend,7,1,0,0,0,0,9,0,0,0,0,0,0,17
mark,"market, marketplace",0,0,0,0,0,0,0,0,0,0,0,17,0,17
moler,painter (of art),17,0,0,0,0,0,0,0,0,0,0,0,0,17
dirigent,conductor (orchestra),16,0,0,0,0,0,0,0,0,0,0,0,0,16
tipsh,fool,0,0,0,0,0,0,0,0,0,0,0,16,0,16
poyer,farmer,0,0,7,0,0,0,0,0,0,8,0,0,0,15
makher,influential person,15,0,0,0,0,0,0,0,0,0,0,0,0,15
makher,"influential person, fixer",15,0,0,0,0,0,0,0,0,0,0,0,0,15
leyb,lion,0,5,0,9,0,0,0,1,0,0,0,0,0,15
poyer,peasant,0,0,7,0,0,0,0,0,0,8,0,0,0,15
shtroy,straw,0,0,0,0,0,0,0,15,0,0,0,0,0,15
metal,metal,0,0,0,0,0,0,0,14,0,0,0,0,0,14
fish,fish,0,12,0,0,0,0,0,1,0,0,0,0,0,13
min,gender (grammar),0,0,0,0,0,0,0,0,0,0,0,13,0,13
mon,"poppy, poppy seed",0,0,2,0,0,0,0,0,0,0,0,11,0,13
verb,verb,0,0,0,0,0,0,0,0,0,0,0,13,0,13
dergreykh,accomplishment; achievement,0,0,12,0,0,0,0,0,0,0,0,0,0,12
get,divorce,8,0,1,0,0,0,0,0,0,0,0,3,0,12
advokat,"lawyer, attorney",4,8,0,0,0,0,0,0,0,0,0,0,0,12
talmid,"student, pupil, learner",0,0,0,0,0,0,0,0,0,0,0,12,0,12
shoyshpiler,actor,11,0,0,0,0,0,0,0,0,0,0,0,0,11
mat,check(mate)(in chess),1,3,0,0,0,0,0,0,0,0,0,7,0,11
sof,"end, close, conclusion",0,10,0,0,0,0,0,0,0,0,0,1,0,11
yat,"guy, lad, chap",0,11,0,0,0,0,0,0,0,0,0,0,0,11
forshteyer,"representative, agent",11,0,0,0,0,0,0,0,0,0,0,0,0,11
krist,Christian (person),10,0,0,0,0,0,0,0,0,0,0,0,0,10
hirsh,deer,2,8,0,0,0,0,0,0,0,0,0,0,0,10
slup,pole; post,0,0,0,0,0,0,0,0,0,0,0,10,0,10
amerikaner,American (person),9,0,0,0,0,0,0,0,0,0,0,0,0,9
burik,beet,0,0,0,0,0,0,0,0,0,0,0,9,0,9
dokter,"doctor, physician",5,1,0,0,0,0,0,0,0,3,0,0,0,9
grinder,founder,9,0,0,0,0,0,0,0,0,0,0,0,0,9
yash,liquor,0,0,0,0,0,0,0,0,0,0,0,9,0,9
banan,banana,0,0,0,0,0,0,0,0,0,0,0,8,0,8
ber,bear,0,3,2,3,0,0,0,0,0,0,0,0,0,8
brilyant,diamond,0,0,0,0,0,0,0,8,0,0,0,0,0,8
zelner,soldier,1,6,0,0,0,0,0,0,0,1,0,0,0,8
farkoyfer,"vendor, salesperson",8,0,0,0,0,0,0,0,0,0,0,0,0,8
veyts,wheat,0,0,6,0,0,0,0,2,0,0,0,0,0,8
bal,ball,0,2,5,0,0,0,0,0,0,0,0,0,0,7
got,God,0,0,0,0,0,0,0,0,0,0,0,7,0,7
got,"god, diety",0,0,0,0,0,0,0,0,0,0,0,7,0,7
metod,method,0,0,0,0,0,0,0,0,0,0,0,7,0,7
dramaturg,"playwright, dramatist",7,0,0,0,0,0,0,0,0,0,0,0,0,7
farkoyf,sale (of goods),0,0,7,0,0,0,0,0,0,0,0,0,0,7
nudnik,"a boring person, an annoying person, a pest, a nag",0,0,0,0,0,0,0,0,0,0,0,6,0,6
zoger,announcer,4,2,0,0,0,0,0,0,0,0,0,0,0,6
doktor,doctor (holder of a Phd.),1,0,0,0,0,0,0,0,0,5,0,0,0,6
plimenik,nephew,0,0,0,0,0,0,0,0,0,0,0,6,0,6
tsuker,sugar,0,6,0,0,0,0,0,0,0,0,0,0,0,6
bit,"basin, tub",0,0,0,0,0,0,0,0,0,1,0,4,0,5
foygl,bird,0,0,1,0,0,0,0,0,0,4,0,0,0,5
daytsh,German (person),0,4,0,0,0,0,0,0,0,0,0,1,0,5
tsigayner,gypsy,3,0,0,0,0,0,0,0,0,2,0,0,0,5
man,husband,0,0,2,0,0,0,0,0,0,0,0,3,0,5
kinig,king,5,0,0,0,0,0,0,0,0,0,0,0,0,5
biblyoteker,librarian (male),4,0,0,0,0,0,0,0,0,1,0,0,0,5
libhober,lover; amatuer,5,0,0,0,0,0,0,0,0,0,0,0,0,5
shadkhn,"matchmaker, marriage broker",0,0,5,0,0,0,0,0,0,0,0,0,0,5
oks,ox,1,0,0,0,0,0,0,3,0,0,0,1,0,5
vagon,"railroad car, carriage",0,0,0,0,0,0,0,0,0,0,0,5,0,5
yungatsh,brat; rascal,0,0,0,0,0,0,0,0,0,0,0,4,0,4
birger,citizen; bourgeois,4,0,0,0,0,0,0,0,0,0,0,0,0,4
farlang,"desire, wish; request",0,0,4,0,0,0,0,0,0,0,0,0,0,4
kishefmakher,magician,4,0,0,0,0,0,0,0,0,0,0,0,0,4
pisk,mouth (animal's),0,0,0,0,0,0,0,0,0,0,0,4,0,4
shpiler,player,4,0,0,0,0,0,0,0,0,0,0,0,0,4
tsvek,"purpose, cause",0,0,0,0,0,0,0,0,0,0,0,4,0,4
visnshaftler,"scientist, scholar",4,0,0,0,0,0,0,0,0,0,0,0,0,4
sheps,sheep,0,0,0,0,0,0,0,4,0,0,0,0,0,4
tshemodan,"suitcase, bag",0,0,0,0,0,0,0,0,0,0,0,4,0,4
shtitser,supporter,4,0,0,0,0,0,0,0,0,0,0,0,0,4
balon,balloon,0,0,0,0,0,0,0,0,0,0,0,3,0,3
gersht,barley grain,0,0,0,0,0,0,0,3,0,0,0,0,0,3
betler,beggar,1,2,0,0,0,0,0,0,0,0,0,0,0,3
oyfpaser,camp counselor (male),1,2,0,0,0,0,0,0,0,0,0,0,0,3
mayster,champion,3,0,0,0,0,0,0,0,0,0,0,0,0,3
rosh,"chief, head",0,0,0,0,0,0,0,0,0,0,0,3,0,3
kubik,cup,0,0,0,0,0,0,0,0,0,0,0,3,0,3
eyzl,"donkey, ass",0,0,3,0,0,0,0,0,0,0,0,0,0,3
tuts,dozen,0,0,0,0,0,0,0,0,0,0,0,3,0,3
shver,father-in-law,3,0,0,0,0,0,0,0,0,0,0,0,0,3
fus,foot; leg,0,0,3,0,0,0,0,0,0,0,0,0,0,3
goy,"Gentile, non-Jew",0,0,0,0,0,0,0,0,0,2,0,1,0,3
gramatik,grammar,0,0,0,0,0,0,0,0,0,0,0,3,0,3
din,"law, esp. Jewish religious law",0,0,0,0,0,0,0,0,0,0,0,3,0,3
lingvist,linguist,1,2,0,0,0,0,0,0,0,0,0,0,0,3
mayster,master,3,0,0,0,0,0,0,0,0,0,0,0,0,3
mayster,"master, champion",3,0,0,0,0,0,0,0,0,0,0,0,0,3
kegner,opponent,3,0,0,0,0,0,0,0,0,0,0,0,0,3
fir,practice (custom),0,0,2,0,0,0,0,0,0,0,0,1,0,3
sotsyalist,socialist,0,3,0,0,0,0,0,0,0,0,0,0,0,3
denker,thinker,3,0,0,0,0,0,0,0,0,0,0,0,0,3
indik,turkey,0,0,0,0,0,0,0,0,0,0,0,3,0,3
mundir,uniform,0,0,3,0,0,0,0,0,0,0,0,0,0,3
kelner,waiter,2,1,0,0,0,0,0,0,0,0,0,0,0,3
vaks,wax,0,0,0,0,0,0,0,3,0,0,0,0,0,3
arbeter,worker,3,0,0,0,0,0,0,0,0,0,0,0,0,3
agent,agent,1,1,0,0,0,0,0,0,0,0,0,0,0,2
april,April,0,0,0,0,0,0,0,0,0,0,0,2,0,2
meyukhes,aristocratic descent (a man of aristocratic descent),0,0,0,0,0,0,0,0,0,0,0,2,0,2
mekler,"broker, agent",2,0,0,0,0,0,0,0,0,0,0,0,0,2
kristus,Christ,0,0,0,0,0,0,0,0,0,0,0,2,0,2
tarakan,cockroach,0,0,0,0,0,0,0,0,0,0,0,2,0,2
kam,comb,2,0,0,0,0,0,0,0,0,0,0,0,0,2
opshprekher,curse remover (male),0,2,0,0,0,0,0,0,0,0,0,0,0,2
disk,"disk, record",2,0,0,0,0,0,0,0,0,0,0,0,0,2
firsht,duke,2,0,0,0,0,0,0,0,0,0,0,0,0,2
odler,eagle,0,2,0,0,0,0,0,0,0,0,0,0,0,2
flaks,flax; lint,0,0,0,0,0,0,0,2,0,0,0,0,0,2
nar,fool,0,0,0,1,0,0,0,0,0,0,0,1,0,2
dor,generation,1,0,0,0,0,0,0,0,0,0,0,1,0,2
gubernator,governor (of a political body),1,0,0,0,0,0,0,0,0,1,0,0,0,2
imigrant,immigrant,0,2,0,0,0,0,0,0,0,0,0,0,0,2
oystaytsher,interpreter,2,0,0,0,0,0,0,0,0,0,0,0,0,2
bund,"Jewish Labor Bund, socialist labor party",0,0,0,0,0,0,0,0,0,0,0,2,0,2
kush,kiss,1,0,0,0,0,0,0,0,0,0,0,1,0,2
marts,March,2,0,0,0,0,0,0,0,0,0,0,0,0,2
martirer,martyr,1,0,0,0,0,0,0,0,0,1,0,0,0,2
pirog,meat pie; vagina (vulgar),0,0,0,0,0,0,0,0,0,0,0,2,0,2
merder,murderer; assasin,1,0,0,0,0,0,0,0,0,1,0,0,0,2
bamerk,notice,0,0,2,0,0,0,0,0,0,0,0,0,0,2
ofis,office,0,0,0,0,0,0,0,0,0,0,0,2,0,2
amt,office (position),2,0,0,0,0,0,0,0,0,0,0,0,0,2
pas,passport,0,0,2,0,0,0,0,0,0,0,0,0,0,2
druker,printer,1,1,0,0,0,0,0,0,0,0,0,0,0,2
kon,"round (of a dance), stake (in a game)",0,0,2,0,0,0,0,0,0,0,0,0,0,2
diner,servant,2,0,0,0,0,0,0,0,0,0,0,0,0,2
shames,"shames, assistant to the rabbi in a synagouge; beadle",0,0,2,0,0,0,0,0,0,0,0,0,0,2
shklaf,slave,2,0,0,0,0,0,0,0,0,0,0,0,0,2
nos,sneeze,0,2,0,0,0,0,0,0,0,0,0,0,0,2
kremer,storekeeper (male),1,1,0,0,0,0,0,0,0,0,0,0,0,2
shnayder,tailor (male),2,0,0,0,0,0,0,0,0,0,0,0,0,2
fartsiter,thrill,0,0,2,0,0,0,0,0,0,0,0,0,0,2
vend,turn,0,2,0,0,0,0,0,0,0,0,0,0,0,2
tip,type,0,0,0,0,0,0,0,0,0,1,0,1,0,2
shraybmashin,typewriter,0,2,0,0,0,0,0,0,0,0,0,0,0,2
bazukher,visitor,2,0,0,0,0,0,0,0,0,0,0,0,0,2
publitsist,writer of current public affairs; pamphleteer; columnist,2,0,0,0,0,0,0,0,0,0,0,0,0,2
anarkhist,anarchist,0,1,0,0,0,0,0,0,0,0,0,0,0,1
entfer,"answer, reply",0,1,0,0,0,0,0,0,0,0,0,0,0,1
bandit,"bandit, gangster",0,1,0,0,0,0,0,0,0,0,0,0,0,1
baron,baron,0,0,0,0,0,0,0,0,0,0,0,0,1,1
shnorer,"beggar; sponger, moocher, parasite",1,0,0,0,0,0,0,0,0,0,0,0,0,1
vet,"bet, wager",0,0,0,0,0,0,0,0,0,0,0,1,0,1
klap,"blow, rap, smack, hit",0,0,0,0,0,0,0,0,0,0,0,1,0,1
dek,bottom,0,0,0,0,0,0,0,0,0,0,0,1,0,1
bik,bull,0,0,0,0,0,0,0,0,0,0,0,1,0,1
tshek,check (bank),1,0,0,0,0,0,0,0,0,0,0,0,0,1
feldz,cliff; rock; boulder,0,0,0,0,0,0,0,1,0,0,0,0,0,1
bading,"condition, provision",0,0,1,0,0,0,0,0,0,0,0,0,0,1
tokh,"core, essence",0,0,0,0,0,0,0,0,0,0,0,1,0,1
dek,"cover, lid",0,0,0,0,0,0,0,0,0,0,0,1,0,1
bashaf,Creation,0,0,0,0,0,0,0,1,0,0,0,0,0,1
farbrekher,criminal,0,0,0,0,0,0,0,0,0,1,0,0,0,1
gevald,"cry, scream, shriek; hue and cry; emergency",0,0,0,0,0,0,0,0,0,0,0,1,0,1
kos,"cup, goblet",0,0,0,0,0,0,0,0,0,0,0,1,0,1
yom,day,0,1,0,0,0,0,0,0,0,0,0,0,0,1
tayvl,"devil, fiend",0,0,0,0,0,0,0,0,0,1,0,0,0,1
diment,diamond,0,0,0,0,0,0,0,1,0,0,0,0,0,1
papshoy,ear of corn,0,0,0,0,0,0,0,0,0,0,0,1,0,1
soyne,enemy,0,0,0,0,0,0,0,0,0,1,0,0,0,1
fisher,fisherman,0,0,0,0,0,0,0,0,0,1,0,0,0,1
tam,"flavor, taste; zest",0,0,0,0,0,0,0,0,0,0,0,1,0,1
shmendrik,"fool; inept person, nincompoop",0,0,1,0,0,0,0,0,0,0,0,0,0,1
felsher,forger,1,0,0,0,0,0,0,0,0,0,0,0,0,1
matsh,"game (ballgame), prizefight",0,0,0,0,0,0,0,0,0,0,0,1,0,1
general,general,0,0,0,0,0,0,0,0,0,1,0,0,0,1
gram,gram (measurement),1,0,0,0,0,0,0,0,0,0,0,0,0,1
grikh,Greek,0,0,0,0,0,0,0,0,0,0,0,1,0,1
hut,hat,0,0,0,0,0,0,0,0,0,0,0,1,0,1
kop,head,0,0,0,0,0,0,0,0,0,0,0,1,0,1
kop,headline,0,0,0,0,0,0,0,0,0,0,0,1,0,1
shoykhet,kosher butcher,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ligner,liar,0,1,0,0,0,0,0,0,0,0,0,0,0,1
mansparshoyn,"man, manly person",0,0,1,0,0,0,0,0,0,0,0,0,0,1
shteyger,"manner, way",0,0,0,0,0,0,0,0,0,1,0,0,0,1
mitglid,member (of a group),1,0,0,0,0,0,0,0,0,0,0,0,0,1
motiv,motive,1,0,0,0,0,0,0,0,0,0,0,0,0,1
klezmer,musician,0,1,0,0,0,0,0,0,0,0,0,0,0,1
observator,observer,1,0,0,0,0,0,0,0,0,0,0,0,0,1
orator,orator,1,0,0,0,0,0,0,0,0,0,0,0,0,1
amol,past,0,1,0,0,0,0,0,0,0,0,0,0,0,1
khlop,peasant,0,0,0,0,0,0,0,0,0,0,0,1,0,1
apteyker,"pharmacist, druggist",1,0,0,0,0,0,0,0,0,0,0,0,0,1
filosof,philosopher,1,0,0,0,0,0,0,0,0,0,0,0,0,1
pioner,pioneer,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ort,"place, spot",1,0,0,0,0,0,0,0,0,0,0,0,0,1
top,pot,0,1,0,0,0,0,0,0,0,0,0,0,0,1
dales,"poverty, squalor",0,0,0,0,0,0,0,0,0,0,0,1,0,1
druk,"pressure, stress; print",0,0,0,0,0,0,0,0,0,0,0,1,0,1
farver,"prohibition, ban; injunction",0,1,0,0,0,0,0,0,0,0,0,0,0,1
plit,raft,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fartreter,representative; substitue; proxy,1,0,0,0,0,0,0,0,0,0,0,0,0,1
gram,rhyme,1,0,0,0,0,0,0,0,0,0,0,0,0,1
himl,"sky, heaven",0,0,0,0,0,0,0,0,0,1,0,0,0,1
shir,song,0,0,0,0,0,0,0,0,0,0,0,1,0,1
redner,"speaker, talker",1,0,0,0,0,0,0,0,0,0,0,0,0,1
vevrik,squirrel; urchin,0,0,0,0,0,0,0,0,0,0,0,1,0,1
shpits,"summit, top, peak",0,0,0,0,0,0,0,1,0,0,0,0,0,1
shtits,"support, grant",0,0,0,0,0,0,0,0,0,0,0,1,0,1
toter,Tatar,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ris,"tear, rip",0,0,0,0,0,0,0,0,0,0,0,1,0,1
tson,tooth,1,0,0,0,0,0,0,0,0,0,0,0,0,1
barir,touch; contact,0,0,1,0,0,0,0,0,0,0,0,0,0,1
tsiter,"tremble, shiver",0,1,0,0,0,0,0,0,0,0,0,0,0,1
drayfus,tripod,0,0,0,0,0,0,0,0,0,0,0,1,0,1
oyfshtand,"uprise, uprising, revolt",1,0,0,0,0,0,0,0,0,0,0,0,0,1
gang,"walk, pace; method",0,0,0,0,0,0,0,0,0,0,0,1,0,1