word,meaning,in,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,es/is,ese,общее,
lets,"bufoon, clown",0,0,977,0,0,0,0,0,0,0,0,0,0,977,скорее всего чистая омонимия
zinger,singer (male),139,1,0,0,0,0,0,0,0,0,0,0,0,140,
lerer,teacher (male),124,9,0,0,0,0,0,0,0,0,0,0,0,133,
ov,"ancestor, patriarch",0,0,0,0,0,0,0,0,0,0,0,130,0,130,скорее всего омонимия с plurалем
khaver,"friend (male), buddy, comrade; boyfriend",0,0,107,0,0,0,0,0,0,0,0,0,0,107,
dikhter,poet,102,0,0,0,0,0,0,0,0,0,0,0,0,102,
dermon,reminder,0,0,90,0,0,0,0,0,0,0,0,0,0,90,
yid,Jew (male),1,0,0,0,0,0,1,67,0,3,0,1,0,73,
shrayber,writer (male),67,1,0,0,0,0,0,0,0,0,0,0,0,68,
forsher,scholar; scientist; researcher,64,0,0,0,0,0,0,0,0,0,0,0,0,64,
mekhaber,author,39,0,23,0,0,0,0,0,0,0,0,0,0,62,
kinstler,artist,54,0,0,0,0,0,0,0,0,0,0,0,0,54,
sfardi,Sephardi,0,0,0,0,0,0,0,0,0,39,0,0,0,39,
held,hero,34,0,0,0,0,0,1,0,0,0,0,0,0,35,
farvalter,manager,30,0,0,0,0,0,0,0,0,0,0,0,0,30,
litvak,Lithuanian (Jewish male Lithuanian),0,0,0,0,0,0,0,0,0,0,0,29,0,29,
profesor,professor,21,1,0,0,0,0,0,0,0,7,0,0,0,29,
poet,poet,4,0,0,0,0,0,0,0,0,0,0,0,19,23,
mitsri,Egyptian male,0,0,0,0,0,0,0,0,0,22,0,0,0,22,
tsar,czar,0,0,19,0,0,0,2,0,0,0,0,0,0,21,
tuer,"doer, leader, active person",21,0,0,0,0,0,0,0,0,0,0,0,0,21,
fidler,fiddler; violinist,19,0,0,0,0,0,0,0,0,0,0,0,0,19,
firer,leader; guide,18,0,0,0,0,0,0,0,0,0,0,0,0,18,
shokhn,neighbor,0,0,18,0,0,0,0,0,0,0,0,0,0,18,
fraynd,friend,7,1,0,0,0,0,9,0,0,0,0,0,0,17,
moler,painter (of art),17,0,0,0,0,0,0,0,0,0,0,0,0,17,
dirigent,conductor (orchestra),16,0,0,0,0,0,0,0,0,0,0,0,0,16,
tipsh,fool,0,0,0,0,0,0,0,0,0,0,0,16,0,16,
poyer,farmer,0,0,7,0,0,0,0,0,0,8,0,0,0,15,
makher,"influential person, fixer",15,0,0,0,0,0,0,0,0,0,0,0,0,15,
leyb,lion,0,5,0,9,0,0,0,1,0,0,0,0,0,15,
poyer,peasant,0,0,7,0,0,0,0,0,0,8,0,0,0,15,
advokat,"lawyer, attorney",4,8,0,0,0,0,0,0,0,0,0,0,0,12,
talmid,"student, pupil, learner",0,0,0,0,0,0,0,0,0,0,0,12,0,12,
shoyshpiler,actor,11,0,0,0,0,0,0,0,0,0,0,0,0,11,
yat,"guy, lad, chap",0,11,0,0,0,0,0,0,0,0,0,0,0,11,
forshteyer,"representative, agent",11,0,0,0,0,0,0,0,0,0,0,0,0,11,
krist,Christian (person),10,0,0,0,0,0,0,0,0,0,0,0,0,10,
amerikaner,American (person),9,0,0,0,0,0,0,0,0,0,0,0,0,9,
dokter,"doctor, physician",5,1,0,0,0,0,0,0,0,3,0,0,0,9,
grinder,founder,9,0,0,0,0,0,0,0,0,0,0,0,0,9,
zelner,soldier,1,6,0,0,0,0,0,0,0,1,0,0,0,8,
farkoyfer,"vendor, salesperson",8,0,0,0,0,0,0,0,0,0,0,0,0,8,
got,God,0,0,0,0,0,0,0,0,0,0,0,7,0,7,
got,"god, diety",0,0,0,0,0,0,0,0,0,0,0,7,0,7,
dramaturg,"playwright, dramatist",7,0,0,0,0,0,0,0,0,0,0,0,0,7,
nudnik,"a boring person, an annoying person, a pest, a nag",0,0,0,0,0,0,0,0,0,0,0,6,0,6,
zoger,announcer,4,2,0,0,0,0,0,0,0,0,0,0,0,6,
doktor,doctor (holder of a Phd.),1,0,0,0,0,0,0,0,0,5,0,0,0,6,
plimenik,nephew,0,0,0,0,0,0,0,0,0,0,0,6,0,6,
daytsh,German (person),0,4,0,0,0,0,0,0,0,0,0,1,0,5,
tsigayner,gypsy,3,0,0,0,0,0,0,0,0,2,0,0,0,5,
man,husband,0,0,2,0,0,0,0,0,0,0,0,3,0,5,
kinig,king,5,0,0,0,0,0,0,0,0,0,0,0,0,5,
biblyoteker,librarian (male),4,0,0,0,0,0,0,0,0,1,0,0,0,5,
libhober,lover; amatuer,5,0,0,0,0,0,0,0,0,0,0,0,0,5,
shadkhn,"matchmaker, marriage broker",0,0,5,0,0,0,0,0,0,0,0,0,0,5,
yungatsh,brat; rascal,0,0,0,0,0,0,0,0,0,0,0,4,0,4,
birger,citizen; bourgeois,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
kishefmakher,magician,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
shpiler,player,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
visnshaftler,"scientist, scholar",4,0,0,0,0,0,0,0,0,0,0,0,0,4,
shtitser,supporter,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
betler,beggar,1,2,0,0,0,0,0,0,0,0,0,0,0,3,
oyfpaser,camp counselor (male),1,2,0,0,0,0,0,0,0,0,0,0,0,3,
mayster,champion,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
rosh,"chief, head",0,0,0,0,0,0,0,0,0,0,0,3,0,3,
eyzl,"donkey, ass",0,0,3,0,0,0,0,0,0,0,0,0,0,3,
shver,father-in-law,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
goy,"Gentile, non-Jew",0,0,0,0,0,0,0,0,0,2,0,1,0,3,
lingvist,linguist,1,2,0,0,0,0,0,0,0,0,0,0,0,3,
mayster,master,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
mayster,"master, champion",3,0,0,0,0,0,0,0,0,0,0,0,0,3,
kegner,opponent,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
sotsyalist,socialist,0,3,0,0,0,0,0,0,0,0,0,0,0,3,
denker,thinker,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
kelner,waiter,2,1,0,0,0,0,0,0,0,0,0,0,0,3,
arbeter,worker,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
agent,agent,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
meyukhes,aristocratic descent (a man of aristocratic descent),0,0,0,0,0,0,0,0,0,0,0,2,0,2,
mekler,"broker, agent",2,0,0,0,0,0,0,0,0,0,0,0,0,2,
opshprekher,curse remover (male),0,2,0,0,0,0,0,0,0,0,0,0,0,2,
firsht,duke,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
nar,fool,0,0,0,1,0,0,0,0,0,0,0,1,0,2,
gubernator,governor (of a political body),1,0,0,0,0,0,0,0,0,1,0,0,0,2,
imigrant,immigrant,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
oystaytsher,interpreter,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
martirer,martyr,1,0,0,0,0,0,0,0,0,1,0,0,0,2,
merder,murderer; assasin,1,0,0,0,0,0,0,0,0,1,0,0,0,2,
druker,printer,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
diner,servant,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
shames,"shames, assistant to the rabbi in a synagouge; beadle",0,0,2,0,0,0,0,0,0,0,0,0,0,2,
shklaf,slave,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
kremer,storekeeper (male),1,1,0,0,0,0,0,0,0,0,0,0,0,2,
shnayder,tailor (male),2,0,0,0,0,0,0,0,0,0,0,0,0,2,
shraybmashin,typewriter,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
bazukher,visitor,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
publitsist,writer of current public affairs; pamphleteer; columnist,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
anarkhist,anarchist,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
bandit,"bandit, gangster",0,1,0,0,0,0,0,0,0,0,0,0,0,1,
baron,baron,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
shnorer,"beggar; sponger, moocher, parasite",1,0,0,0,0,0,0,0,0,0,0,0,0,1,
bashaf,Creation,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
farbrekher,criminal,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
tayvl,"devil, fiend",0,0,0,0,0,0,0,0,0,1,0,0,0,1,
soyne,enemy,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
fisher,fisherman,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
shmendrik,"fool; inept person, nincompoop",0,0,1,0,0,0,0,0,0,0,0,0,0,1,
felsher,forger,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
general,general,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
grikh,Greek,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
shoykhet,kosher butcher,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
ligner,liar,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
mansparshoyn,"man, manly person",0,0,1,0,0,0,0,0,0,0,0,0,0,1,
mitglid,member (of a group),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
klezmer,musician,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
observator,observer,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
orator,orator,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
khlop,peasant,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
apteyker,"pharmacist, druggist",1,0,0,0,0,0,0,0,0,0,0,0,0,1,
filosof,philosopher,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
pioner,pioneer,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
dales,"poverty, squalor",0,0,0,0,0,0,0,0,0,0,0,1,0,1,
fartreter,representative; substitue; proxy,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
redner,"speaker, talker",1,0,0,0,0,0,0,0,0,0,0,0,0,1,
vevrik,squirrel; urchin,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
toter,Tatar,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
